title,attributes,rating,reviewCount,category,address,city,plusCode,website,phoneNumber,tuesday,wednesday,thursday,friday,saturday,sunday,monday,imgUrl,placeUrl,latitude,longitude
Beverly Center,"High-end shopping mall offers luxury designer shops, well-known department stores & restaurants.",4.3,6375,Shopping mall,"8500 Beverly Blvd, Los Angeles, CA 90048, United States",Los Angeles,"3JGF+33 Los Angeles, California, USA",https://beverlycenter.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB,+1 310-854-0070,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,11a.m.–6p.m.,10a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipMxqQ8hd4uOReqtmnTM_fthg0HFrwgq2bGjifNM=w408-h306-k-no,https://www.google.com/maps/place/Beverly+Center/data=!4m7!3m6!1s0x80c2beb346dfc26d:0x5fbc7f956975fad!8m2!3d34.0751706!4d-118.3773546!16zL20vMDU0dnA0!19sChIJbcLfRrO-woARrV-XVvnH-wU,34.0751875,-118.3773125
FIGat7th,"Mall with big-box & smaller retail shops, eateries, kids' crafts, a Thursday farmer's market & more.",4.4,8127,Shopping mall,"735 S Figueroa St, Los Angeles, CA 90017, United States",Los Angeles,"2PXQ+MM Los Angeles, California, USA",figat7th.com,+1 213-955-7170,11a.m.–9p.m.,11a.m.–9p.m.,11a.m.–9p.m.,11a.m.–9p.m.,11a.m.–7p.m.,11a.m.–7p.m.,11a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipNDL_4bo2No4JEG06XxUqDD2_dq_jHC-NMqVH9w=w408-h306-k-no,https://www.google.com/maps/place/FIGat7th/data=!4m7!3m6!1s0x80c2c7b1268d8e2b:0xc12174e9be4b5269!8m2!3d34.0491696!4d-118.2608507!16s%2Fm%2F0gj8xbg!19sChIJK46NJrHHwoARaVJLvul0IcE,34.0491875,-118.2608125
The Grove,"High-end shopping mall features trendy retailers, restaurants & a theater amid a bustling promenade.",4.6,20692,Shopping mall,"189 The Grove Dr, Los Angeles, CA 90036, United States",Los Angeles,"3JCR+QX Los Angeles, California, USA",https://thegrovela.com/?utm_source=local-listings&utm_medium=organic&utm_campaign=local-listings,+1 323-900-8080,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–10p.m.,10a.m.–10p.m.,11a.m.–9p.m.,10a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipMgbs79eJ0rXDLCBD8zvTXy_uKRb1W4U0P2AJBj=w408-h307-k-no,https://www.google.com/maps/place/The+Grove/data=!4m7!3m6!1s0x80c2b92fc2d303c3:0xc3906f8fff88db6e!8m2!3d34.0719407!4d-118.3575164!16zL20vMDZjcnl4!19sChIJwwPTwi-5woARbtuI_49vkMM,34.0719375,-118.3575625
The Bloc,"Open-air commercial complex with major department stores, dining, a movie theater & event space.",4.4,6037,Shopping mall,"700 W 7th St, Los Angeles, CA 90017, United States",Los Angeles,"2PXR+29 Los Angeles, California, USA",theblocla.com,+1 213-454-4926,11a.m.–8p.m.,11a.m.–8p.m.,11a.m.–8p.m.,11a.m.–9p.m.,10a.m.–9p.m.,11a.m.–7p.m.,11a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipMUznhUz6IOUXpOXgVj0kaSX-Gkmogx0q9KtCAS=w408-h306-k-no,https://www.google.com/maps/place/The+Bloc/data=!4m7!3m6!1s0x80c2c7b6af26cb6f:0x2870abf530e7b2dd!8m2!3d34.0475959!4d-118.2590026!16s%2Fg%2F11cs1lcwm1!19sChIJb8smr7bHwoAR3bLnMPWrcCg,34.0475625,-118.2590625
Ovation,"Landmark district boasts The Chinese Theatre, Walk of Fame, designer shops, nightlife & restaurants.",4.4,27706,Shopping mall,"6801 Hollywood Blvd, Hollywood, CA 90028, United States",Hollywood,"4M26+W2 Hollywood, Los Angeles, CA, USA",https://www.ovationhollywood.com/,+1 323-817-0200,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,https://lh5.googleusercontent.com/p/AF1QipNJ2tQjhSVin_J9c4Od2W-UWgVNFSLwv5lL_BXW=w408-h488-k-no,https://www.google.com/maps/place/Ovation/data=!4m7!3m6!1s0x80c2bf23c1db5e19:0xe9c39639f7356912!8m2!3d34.1023194!4d-118.3399992!16zL20vMDV5MHRw!19sChIJGV7bwSO_woAREmk19zmWw-k,34.1023125,-118.3399375
Slauson Super Mall,"Indoor shopping mall hosting a variety of vendors selling apparel, jewelry, shoes & more.",4.2,5006,Shopping mall,"1600 W Slauson Ave, Los Angeles, CA 90047, United States",Los Angeles,"XMQV+8G Los Angeles, California, USA",http://www.slausonsupermallinc.com/,+1 323-778-6055,10a.m.–7p.m.,10a.m.–7p.m.,10a.m.–7p.m.,10a.m.–7p.m.,10a.m.–7p.m.,10a.m.–7p.m.,10a.m.–7p.m.,https://lh5.googleusercontent.com/p/AF1QipOLFG_ld7BOIJNyfe5C5K93Fp4P4Ka9nD3cTq0t=w658-h240-k-no,https://www.google.com/maps/place/Slauson+Super+Mall/data=!4m7!3m6!1s0x80c2b7ddd52bbf7f:0x34cf083773f5a70b!8m2!3d33.9882789!4d-118.3061484!16s%2Fg%2F1th0n4x9!19sChIJf78r1d23woARC6f1czcIzzQ,33.9883125,-118.3061875
Santa Monica Place,"Contemporary open-air mall since 1980 with luxury-brand shops, plus a food court & a movie theater.",4.5,13927,Shopping mall,"395 Santa Monica Pl, Santa Monica, CA 90401, United States",Santa Monica,"2G74+G9 Santa Monica, California, USA",https://www.santamonicaplace.com/?utm_source=google&utm_medium=onlinesearch&utm_content=gmp_website_button&utm_campaign=yext,+1 310-260-8333,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,10a.m.–8p.m.,11a.m.–7p.m.,10a.m.–8p.m.,https://lh5.googleusercontent.com/p/AF1QipNSQuXn76Kw_7LuEqD42bWHB5iNiwprMymZAgE=w408-h306-k-no,https://www.google.com/maps/place/Santa+Monica+Place/data=!4m7!3m6!1s0x80c2a4d1962aea15:0x414bf7875c4afe69!8m2!3d34.0138581!4d-118.494041!16zL20vMDlubm02!19sChIJFeoqltGkwoARaf5KXIf3S0E,34.0138125,-118.4940625
The Promenade at Howard Hughes Center,"Innovative open-air shopping center boasts a range of restaurants, retailers & a multiplex theater.",4.2,2883,Shopping mall,"6081 Center Dr Suite 102, Los Angeles, CA 90045, United States",Los Angeles,"XJH5+66 Los Angeles, California, USA",https://shophhla.com/,+1 310-641-8073,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,10a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipMrP2yNfo_eBuE_KOdFHqEaqOFNtt2x4gYDsHRz=w480-h240-k-no,https://www.google.com/maps/place/The+Promenade+at+Howard+Hughes+Center/data=!4m7!3m6!1s0x80c2b74d3bdef5f7:0x83b579bf48b05674!8m2!3d33.9780174!4d-118.3919372!16s%2Fm%2F026d401!19sChIJ9_XeO023woARdFawSL95tYM,33.9780625,-118.3919375
Midtown Shopping Center,,4.3,2751,Shopping mall,"4725 Venice Blvd., Los Angeles, CA 90019, United States",Los Angeles,"2MW5+VW Los Angeles, California, USA",,+1 323-935-4077,8:15a.m.–11:15p.m.,8:15a.m.–11:15p.m.,8:15a.m.–11:15p.m.,8:15a.m.–11:15p.m.,8:15a.m.–11:15p.m.,6a.m.–11:15p.m.,8:15a.m.–11:15p.m.,https://lh5.googleusercontent.com/p/AF1QipNt5KpGYPngg1bLuObaVGJJTIz5Pc5MHzcia8bW=w493-h240-k-no,https://www.google.com/maps/place/Midtown+Shopping+Center/data=!4m7!3m6!1s0x80c2b8f84bff4ed9:0x80ef6e44107f7a7!8m2!3d34.0471286!4d-118.3401669!16s%2Fg%2F1ttdyqdf!19sChIJ2U7_S_i4woARp_cHQeT2Dgg,34.0471875,-118.3401875
Baldwin Hills Crenshaw,"Enduring 2-story shopping mall offers familiar retail shops, big-box stores & a multiplex theater.",4.3,9848,Shopping mall,"3650 W Martin Luther King Jr Blvd, Los Angeles, CA 90008, United States",Los Angeles,"2M67+84 Los Angeles, California, USA",chrome-error://chromewebdata/,+1 323-290-6636,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,11a.m.–7p.m.,10a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipNBwN8cUIPKXRXY-ky3NziOolQmR_IuT6GHo33u=w408-h306-k-no,https://www.google.com/maps/place/Baldwin+Hills+Crenshaw/data=!4m7!3m6!1s0x80c2b82f175a41e3:0xa16513b22e27ae91!8m2!3d34.0108033!4d-118.337194!16s%2Fm%2F02r1xff!19sChIJ40FaFy-4woARka4nLrITZaE,34.0108125,-118.3371875
West Hollywood Gateway,"Shopping center featuring modern architecture & many large retailers, services & eateries.",4.3,3393,Shopping mall,"7100 Santa Monica Blvd #70, Los Angeles, CA 90046, United States",Los Angeles,"3MQ3+WX Los Angeles, California, USA",chrome-error://chromewebdata/,+1 323-785-2560,6:30a.m.–10p.m.,6:30a.m.–10p.m.,6:30a.m.–10p.m.,6:30a.m.–10p.m.,6:30a.m.–10p.m.,6:30a.m.–10p.m.,6:30a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipNHycRwPaYjc4PG2x6k7qqi140fYRutHfWUR6Eh=w408-h306-k-no,https://www.google.com/maps/place/West+Hollywood+Gateway/data=!4m7!3m6!1s0x80c2bf29b903c643:0x9305da0323f31cf6!8m2!3d34.0898164!4d-118.3450254!16s%2Fm%2F02qphpb!19sChIJQ8YDuSm_woAR9hzzIwPaBZM,34.0898125,-118.3450625
Sherman Oaks Galleria,"Chic open-air mall offers retailers, restaurants & offices, plus a 24-hour gym & multiplex theater.",4.2,3089,Shopping mall,"15301 Ventura Blvd, Sherman Oaks, CA 91403, United States",Sherman Oaks,"5G3M+X9 Sherman Oaks, Los Angeles, CA, USA",shermanoaksgalleria.com,+1 818-382-4100,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipM4MgApeKgA8yD7MkQEx_dduOxCn00WdQn6UfX6=w408-h272-k-no,https://www.google.com/maps/place/Sherman+Oaks+Galleria/data=!4m7!3m6!1s0x80c29794c8097071:0x83eca8ad4cef2f0!8m2!3d34.1549292!4d-118.4665507!16zL20vMDYycGp2!19sChIJcXAJyJSXwoAR8PLO1IrKPgg,34.1549375,-118.4665625
Midtown Crossing,,4.4,1422,Shopping mall,"4550 W Pico Blvd, Los Angeles, CA 90019, United States",Los Angeles,"2MX7+5Q Los Angeles, California, USA",chrome-error://chromewebdata/,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOh3kqlJL3FVvw0b7nzgiHdaIQDQb0FemIS64n_=w426-h240-k-no,https://www.google.com/maps/place/Midtown+Crossing/data=!4m7!3m6!1s0x80c2b96ac2e27641:0x159f0ea07e45db8!8m2!3d34.0479314!4d-118.3355314!16s%2Fg%2F11hz6cmwgv!19sChIJQXbiwmq5woARuF3kB-rwWQE,34.0479375,-118.3355625
LA Cienega Plaza,,4.5,989,Shopping mall,"Los Angeles, CA 90035, United States",Los Angeles,"2JVC+HQ Los Angeles, California, USA",,,7:30a.m.–10p.m.,7:30a.m.–10p.m.,7a.m.–10p.m.,7:30a.m.–10p.m.,7:30a.m.–10p.m.,7:30a.m.–10p.m.,7:30a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPFmbelS1XAnucudTuQdksMxokluhp3Rpykxn4v=w532-h240-k-no,https://www.google.com/maps/place/LA+Cienega+Plaza/data=!4m7!3m6!1s0x80c2b971cde82fcf:0x71970ed62383006f!8m2!3d34.0438966!4d-118.3780243!16s%2Fg%2F11h84ymb_b!19sChIJzy_ozXG5woARbwCDI9YOl3E,34.0439375,-118.3780625
City Center on 6th,"Tri-level indoor shopping center with lots of natural light, varied retailers & meal options.",4.1,1055,Shopping mall,"Second Floor, 3500 W 6th St, Los Angeles, CA 90020, United States",Los Angeles,"3P72+9J Los Angeles, California, USA",,+1 213-383-3435,10a.m.–8:30p.m.,10a.m.–8:30p.m.,10a.m.–8:30p.m.,10a.m.–8:30p.m.,10a.m.–8:30p.m.,10a.m.–7:30p.m.,10a.m.–8:30p.m.,https://lh5.googleusercontent.com/p/AF1QipOb9_ledXjxei7bd3OF3SkQAMpAbziSfF8d8RCP=w408-h305-k-no,https://www.google.com/maps/place/City+Center+on+6th/data=!4m7!3m6!1s0x80c2c77d42f8f245:0x2f49f57eb53b44d0!8m2!3d34.0633845!4d-118.2984898!16s%2Fg%2F1tqnlxf2!19sChIJRfL4Qn3HwoAR0EQ7tX71SS8,34.0634375,-118.2984375
Westfield Culver City,,4.5,17088,Shopping mall,"6000 Sepulveda Blvd, Culver City, CA 90230, United States",Culver City,"XJP4+9P Culver City, California, USA",https://www.westfield.com/culvercity,+1 310-390-7833,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,10a.m.–9p.m.,11a.m.–7p.m.,10a.m.–9p.m.,https://lh5.googleusercontent.com/p/AF1QipOJsLd9RGRNHYpYy6eVabr8Quf4_0ZJ2elUkPDP=w427-h240-k-no,https://www.google.com/maps/place/Westfield+Culver+City/data=!4m7!3m6!1s0x80c2b754b4646eb1:0x9903ae1f52e0e715!8m2!3d33.9859028!4d-118.39321!16zL20vMGc5eDk5!19sChIJsW5ktFS3woARFefgUh-uA5k,33.9859375,-118.3931875
Western Square,,4.2,360,Shopping mall,"2302 S Western Ave, Los Angeles, CA 90006, United States",Los Angeles,"2MRR+VG Los Angeles, California, USA",,,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,7a.m.–12a.m.,https://lh5.googleusercontent.com/p/AF1QipPrYC-_FOmAB4InMedH8WYTs74lju68ffnkEFPN=w408-h541-k-no,https://www.google.com/maps/place/Western+Square/data=!4m7!3m6!1s0x80c2b87a85f617af:0xd8f260fa9d86e101!8m2!3d34.0421318!4d-118.3086322!16s%2Fg%2F11h85hs7tn!19sChIJrxf2hXq4woARAeGGnfpg8tg,34.0421875,-118.3086875
Western Plaza Shopping Center,"Straightforward strip mall featuring a supermarket, plus other everyday stores & fast-food options.",4.2,2357,Shopping mall,"Los Angeles, CA 90019, United States",Los Angeles,"2MVR+26 Los Angeles, California, USA",,,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,6a.m.–12a.m.,https://lh5.googleusercontent.com/p/AF1QipPM2fN4_Tp2fyKhpArV9HKIRRa_eoQyb18aU-kr=w408-h725-k-no,https://www.google.com/maps/place/Western+Plaza+Shopping+Center/data=!4m7!3m6!1s0x80c2b87ac6b603df:0xdbd793d2a492c00d!8m2!3d34.0425721!4d-118.3094669!16s%2Fg%2F1w2yzqdh!19sChIJ3wO2xnq4woARDcCSpNKT19s,34.0425625,-118.3094375
